alpha,arrivals_early,arrivals_late,arrivals_on_time,beta,capacity,config,distance_total,exec_s,gamma,history_last,lambda_weight,length_speed_kph,max_operation_time,min_travel_minutes,mu_weight,n_ants,n_iters,objective_cost,pct_on_time,penalty_alpha,penalty_beta,penalty_capacity,penalty_gamma,penalty_time,penalty_total,penalty_window,q,rho,run,scenario,status,targets,time_factor,total_time,unload_time,weight
1.0,2,0,8,2.0,20.0,length_base,5194.8536779468295,0.23608590500043647,1.0,5337.476036755373,1.0,18.0,600.0,1.5,1.0,30,80,5337.476036755373,80.0,1.0,1.0,0.0,1.0,0.0,142.62235880854314,142.62235880854314,100.0,0.5,1,E1_small,ok,10,5.0,330.33790174055207,10,length
1.0,2,0,8,2.0,20.0,length_ants20,5442.883504068259,0.16397173899986228,1.0,5585.505862876802,1.0,18.0,600.0,1.5,1.0,20,80,5585.505862876802,80.0,1.0,1.0,0.0,1.0,0.0,142.62235880854314,142.62235880854314,100.0,0.5,1,E1_small,ok,10,5.0,334.4717321759093,10,length
1.0,2,0,8,2.0,20.0,length_ants40,5433.102876629837,0.3276849140002014,1.0,5575.72523543838,1.0,18.0,600.0,1.5,1.0,40,80,5575.72523543838,80.0,1.0,1.0,0.0,1.0,0.0,142.62235880854314,142.62235880854314,100.0,0.5,1,E1_small,ok,10,5.0,334.3087217186023,10,length
1.0,2,0,8,2.0,20.0,length_iters50,5194.8536779468295,0.1527127740000651,1.0,5337.476036755373,1.0,18.0,600.0,1.5,1.0,30,50,5337.476036755373,80.0,1.0,1.0,0.0,1.0,0.0,142.62235880854314,142.62235880854314,100.0,0.5,1,E1_small,ok,10,5.0,330.33790174055207,10,length
1.0,2,0,8,2.0,20.0,length_iters120,5684.243633716186,0.35829478100004053,1.0,5826.865992524729,1.0,18.0,600.0,1.5,1.0,30,120,5826.865992524729,80.0,1.0,1.0,0.0,1.0,0.0,142.62235880854314,142.62235880854314,100.0,0.5,1,E1_small,ok,10,5.0,338.4944010033747,10,length
0.8,2,0,8,2.0,20.0,length_alpha0.8,5442.883504068259,0.23676202299975557,1.0,5585.505862876802,1.0,18.0,600.0,1.5,1.0,30,80,5585.505862876802,80.0,1.0,1.0,0.0,1.0,0.0,142.62235880854314,142.62235880854314,100.0,0.5,1,E1_small,ok,10,5.0,334.4717321759093,10,length
1.2,4,0,6,2.0,20.0,length_alpha1.2,6194.321868900468,0.220091899000181,1.0,6227.036114274581,1.0,18.0,600.0,1.5,1.0,30,80,6227.036114274581,60.0,1.0,1.0,0.0,1.0,0.0,32.71424537411383,32.71424537411383,100.0,0.5,1,E1_small,ok,10,5.0,237.08759148868364,10,length
1.0,2,0,8,1.5,20.0,length_beta1.5,5194.8536779468295,0.22674076900057116,1.0,5337.476036755373,1.0,18.0,600.0,1.5,1.0,30,80,5337.476036755373,80.0,1.0,1.0,0.0,1.0,0.0,142.62235880854314,142.62235880854314,100.0,0.5,1,E1_small,ok,10,5.0,330.33790174055207,10,length
1.0,2,0,8,2.5,20.0,length_beta2.5,5194.8536779468295,0.22812281000005896,1.0,5337.476036755373,1.0,18.0,600.0,1.5,1.0,30,80,5337.476036755373,80.0,1.0,1.0,0.0,1.0,0.0,142.62235880854314,142.62235880854314,100.0,0.5,1,E1_small,ok,10,5.0,330.33790174055207,10,length
1.0,3,0,7,2.0,20.0,length_gamma0.7,5906.921193721794,0.21915772700049274,0.7,5939.693489719684,1.0,18.0,600.0,1.5,1.0,30,80,5939.693489719684,70.0,1.0,1.0,0.0,1.0,0.0,32.77229599788984,32.77229599788984,100.0,0.5,1,E1_small,ok,10,5.0,232.35563085948183,10,length
1.0,2,0,8,2.0,20.0,length_gamma1.3,5194.8536779468295,0.233163875000173,1.3,5337.476036755373,1.0,18.0,600.0,1.5,1.0,30,80,5337.476036755373,80.0,1.0,1.0,0.0,1.0,0.0,142.62235880854314,142.62235880854314,100.0,0.5,1,E1_small,ok,10,5.0,330.33790174055207,10,length
